city,property_name,link,property_id,society,societyName,latitude,longitude,price,pricePerSqft,area,areaWithType,areaSqm,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,overlooking,agePossession,postedDate,nearbyLocations,description,furnishDetails,features,rating,mainImage,breadcrumbHierarchy,additionalDetailsJson,reraStatus,reraWebsite,dealerName,dealerCompany,dealerMemberSince,dealerAddress,dealerWebsite
chandigarh,"3 BHK Flatin Dera Bassi, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ubber-palm-heights-dera-bassi-chandigarh-1770-sqft-r5-spid-G83968314,G83968314,Ubber Palm Heights,Ubber Palm Heights,30.599833501545824,76.8589540614598,63.5 Lac,"@ 3,587 per sqft","₹3,587 /sqft",Super Built-up area 1770(164.44 sq.m.)Carpet area: 930.11 sqft (86.41 sq.m.)  sqft,164.44,3 Bedrooms,3 Bathrooms,3 Balconies,Pooja Room,"Dera Bassi, Chandigarh, India",4th   of 9 Floors,North-East,"Pool,Park,Club,Main Road",Under Construction,"Jun 06, 2026",,"Ubber palm heights offers 2/3 bhk luxury smart homes in derabassi, starting at 45.50 lacs. Located just a 20-Minute drive from chandigarh, these exclusive homes feature alexa-Operated functionality and can be controlled with just a click. As the first smart homes introduced in the derabassi region, ...","['Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Connectivity3.9 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.5 out of 5', 'Green Area3.6 out of 5']",https://imagecdn.99acres.com/media1/31142/12/622852927O-1767285211417.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Dera Bassi', '3 BHK Flats in Dera Bassi']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Water Source"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,Investor Bureau estates,Investor Bureau estates,"Member Since Mar, 2025","Mohali, Mohali",
chandigarh,"3 BHK FlatinZirakpur, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-zirakpur-chandigarh-1350-sqft-r5-spid-U82457824,U82457824,EXCEL HOMES,EXCEL HOMES,30.6425496,76.8173359,59.9 Lac,"@ 4,437 per sqft","₹4,437 /sqft",Super Built-up area 1350(125.42 sq.m.)  sqft,125.42,3 Bedrooms,3 Bathrooms,2 Balconies,Store Room,"Zirakpur, Chandigarh, India",Ground of 2 Floors,,,0 to 1 Year Old,"Jun 06, 2026",,"Located in the popular residential address of zirakpur, chandigarh, excel homes is one of the most preferred destination for apartments in chandigarh. This 3 bhk flat is your ticket to be a part of this community. Containing 3 bedroom(s), 3 bathrooms and 2 balconies, this flat is spread over a super...","['3 Wardrobe', 'Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Fan', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Gated Society', '1 Open Parking']","['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.1 out of 5', 'Green Area4.3 out of 5']",https://imagecdn.99acres.com/media1/37531/19/750639332O-1777372309348.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Zirakpur', '3 BHK Flats in Zirakpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://www.rera.punjab.gov.in/,Investor Bureau estates,Investor Bureau estates,"Member Since Mar, 2025","Mohali, Mohali",
chandigarh,"2 BHK FlatinDera Bassi, Chandigarh",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-steel-strips-towers-dera-bassi-chandigarh-1219-sqft-spid-A91899870,A91899870,Steel Strips Towers,Steel Strips Towers,30.5728763,76.8358036,68.99 Lac,"@ 8,203 per sqft","₹8,203 /sqft",Super Built-up area 1219(113.25 sq.m.)Carpet area: 841 sqft (78.13 sq.m.)  sqft,113.25,2 Bedrooms,2 Bathrooms,2 Balconies,Others,"Dera Bassi, Chandigarh, India",1st   of 7 Floors,North-West,"Club,Pool,Main Road",1 to 5 Year Old,"Jun 16, 2026",,"This residential flat is north-West-Facing direction. The flat is over 1219 sq.Ft. Super built up area and comes with 2 bedroom(s), 2 bathrooms and 2 balconies. The flat has a total of 7 floors and this property is situated on 1st floor. This 1-5 years old property is available for immediate possess...","['Fan', 'Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Light', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Wardrobe', 'No Washing Machine', 'No Water Purifier']",,"['Construction3.1 out of 5', 'Amenities3.4 out of 5', 'Management2.9 out of 5', 'Connectivity3.9 out of 5', 'Green Area3.6 out of 5']",https://imagecdn.99acres.com/media1/38851/14/777034438O-1781429461040.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Dera Bassi', '2 BHK Flats in Dera Bassi']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Width of facing road"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,RAVI SHARMA,AARAVI INFRA,"Member Since Nov, 2024","House no 212  gomala vihar derabassi zirakur, Mohali",
chandigarh,"3 BHK FlatinPabhat, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-pabhat-mohali-1880-sqft-spid-T92039466,T92039466,Riverdale Society,Riverdale Society ,30.6460437,76.8011956,75 Lac,"@ 3,989 per sqft","₹3,989 /sqft",Super Built-up area 1880(174.66 sq.m.)Carpet area: 1550 sqft (144 sq.m.)  sqft,174.66,3 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Store Room","Flat 2502, Pabhat, Chandigarh, India",5th   of 7 Floors,East,Others,5 to 10 Year Old,"Jul 03, 2026",,"Premium 3 bhk ready-To-Move apartment for sale in riverdale society, pabhat road, zirakpurPresenting a spacious and well-Maintained 3 bhk + pooja room apartment in the prestigious riverdale society, located on pabhat road, zirakpur. This ready-To-Move home offers the perfect combination of comfort...","['Wardrobe', 'Water Purifier', 'Fan', 'Light', 'Modular Kitchen', 'Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']","['Lift(s)', 'Security / Fire Alarm', 'Power Back-up', 'Vaastu Compliant', 'Water purifier', 'Gated Society', '1 Covered Parking', 'Security Guard', 'Swimming Pool', 'Visitor Parking', 'Park', 'Piped-gas', 'Maintenance Staff', 'Water Storage', 'Spacious Interiors', 'Club house']",,https://imagecdn.99acres.com/media1/39346/14/786934002O-1782983962649.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Zirakpur', 'Flats in Pabhat', '3 BHK Flats in Pabhat']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Facing"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Width of facing road"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://www.rera.punjab.gov.in/,,,,,
chandigarh,"4 BHK FlatinMullanpur, Chandigarh",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-ambika-florence-park-mullanpur-chandigarh-2565-sqft-r1-spid-E77924429,E77924429,Ambika Florence Park,Ambika Florence Park,30.726436,76.707681,2.12 Crore,"@ 8,265 per sqft","₹8,265 /sqft",Super Built-up area 2565(238.3 sq.m.)Built-up area: 1847 sqft (171.59 sq.m.)Carpet area: 1667 sqft (154.87 sq.m.)  sqft,238.3,4 Bedrooms,4 Bathrooms,3 Balconies,"Pooja Room,Servant Room","1503, Mullanpur, Chandigarh, India",15th   of 18 Floors,South-East,"Pool,Park,Club,Main Road",1 to 5 Year Old,"Jul 11, 2026",,"4 bhk + servant room apartment: Premium residential apartment with excellent amenities. Corner unit overlooking the landscaped garden and swimming pool. Well-Appointed interiors with the following fittings:A. Nine (9) ceiling fans
B. Five (5) exhaust fans
C. Lighting fixtures in all rooms and balc...","['4 Wardrobe', 'Water Purifier', 'Fan', 'Exhaust Fan', '5 Geyser', 'Light', '2 AC', 'Modular Kitchen', 'Chimney', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine']",,"['Construction3.1 out of 5', 'Amenities3.8 out of 5', 'Management3.4 out of 5', 'Connectivity3.5 out of 5', 'Green Area3.6 out of 5']",https://imagecdn.99acres.com/media1/26212/7/524247365O-1782885560133.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Mullanpur', '4 BHK Flats in Mullanpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""WheelChair Friendly"": "":"", ""Water Source"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,,,,,
chandigarh,"3 BHK FlatinZirakpur, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-trishla-city-zirakpur-chandigarh-2021-sqft-spid-I90595536,I90595536,Trishla City,Trishla City,30.6474221,76.7969287,1.55 Crore,"@ 7,669 per sqft","₹7,669 /sqft",Super Built-up area 2021(187.76 sq.m.)  sqft,187.76,3 Bedrooms,3 Bathrooms,3+ Balconies,,"611m, Zirakpur, Chandigarh, India",10th   of 14 Floors,East,"Pool,Park,Club,Main Road",Within 3 months,"Apr 28, 2026",,"This 3 bhk flat in trishla city, zirakpur, chandigarh, spans 2021 sq.Ft. On the 10th floor of a 14-Story high-Rise. Built less than a year ago, its vaastu compliant and offers immediate possession. The fully furnished apartment includes 3 bedrooms, 3 bathrooms, and access to a gym, clubhouse, pool, ...",,,"['Construction3.9 out of 5', 'Amenities3.7 out of 5', 'Management3.8 out of 5', 'Connectivity3.9 out of 5', 'Green Area3.8 out of 5']",https://imagecdn.99acres.com/media1/37531/6/750626594O-1777371274731.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Zirakpur', '3 BHK Flats in Zirakpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Width of facing road"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,,,,,
chandigarh,4 BHK FlatinNew Chandigarh,https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-the-tiara-new-chandigarh-4088-sqft-spid-V90867006,V90867006,The Tiara,The Tiara,30.822994,76.743729,3.88 Crore,"@ 9,500 per sqft","₹9,500 /sqft",Built-up area: 4088 (379.79 sq.m.)  sqft,379.79,4 Bedrooms,4 Bathrooms,3+ Balconies,,"New Chandigarh, Chandigarh, India",5th   of 28 Floors,,,Apr 2029,"May 05, 2026",,"Constructed on a built up area of 4088 sq.Ft., the flat comprises 4 bedroom(s), 4 bathrooms and more than 3 balconies. This flat lies on the 5th level of a 38 storey building. This residential property is still under construction and will be available for possession within 6 months.","['Wardrobe', 'Water Purifier', 'Fridge', 'Geyser', 'Stove', 'Microwave', 'Light', 'AC', 'Modular Kitchen', 'Chimney', 'No Bed', 'No Dining Table', 'No Fan', 'No Sofa', 'No TV', 'No Washing Machine']",,"['Connectivity4.4 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.3 out of 5', 'Green Area4.4 out of 5']",https://imagecdn.99acres.com/media1/37727/10/754550762O-1778051916094.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in New Chandigarh', '4 BHK Flats in New Chandigarh']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,,,,,
chandigarh,"3 BHK FlatinZirakpur, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-gulnaar-meadows-zirakpur-chandigarh-1800-sqft-spid-S91950986,S91950986,Gulnaar Meadows,Gulnaar Meadows,30.663204,76.82068597222222,1.65 Crore,"@ 9,166 per sqft","₹9,166 /sqft",Built-up area: 1800 (167.23 sq.m.)Carpet area: 980 sqft (91.04 sq.m.)  sqft,167.23,3 Bedrooms,3 Bathrooms,2 Balconies,,"Zirakpur, Chandigarh, India",3rd   of 4 Floors,North-East,"Park,Main Road,Others",1 to 5 Year Old,"Jun 23, 2026",,"Are you looking for a home that offers both luxury indoor living and a massive private outdoor space? This is it.
We are offering a gorgeous corner flat in gulnaar meadows, zirakpur, that is fully interior-Designed and move-In ready. But the real showstopper? The 900 sq. Ft. Private roof right that ...","['8 Wardrobe', 'Fan', 'Light', 'Modular Kitchen', 'No AC', 'No Bed', 'No Chimney', 'No Dining Table', 'No Geyser', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.1 out of 5', 'Green Area4.3 out of 5']",https://imagecdn.99acres.com/media1/38912/0/778240054O-1781607265584.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Zirakpur', '3 BHK Flats in Zirakpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Width of facing road"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://www.rera.punjab.gov.in/,,,,,
chandigarh,"3 BHK FlatinZirakpur, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-la-prisma-zirakpur-chandigarh-1610-sqft-spid-Y90023996,Y90023996,La Prisma,La Prisma,30.627379699722223,76.82614119972222,1.15 Crore,"@ 7,142 per sqft","₹7,142 /sqft",Super Built-up area 1610(149.57 sq.m.)Carpet area: 1001 sqft (93 sq.m.)  sqft,149.57,3 Bedrooms,3 Bathrooms,3 Balconies,,"Zirakpur, Chandigarh, India",9th   of 14 Floors,,"Main Road,Others",1 to 5 Year Old,"Apr 20, 2026",,"The floor plan additionally contains 3 bedroom(s), 3 bathrooms and 3 balconies. All in all, the flat is spread over a super built up area of 1610 sq.Ft. This flat is situated on the 9th floor of this 14 floors tall residential building. This 1-5 years old property is available for immediate possessi...","['3 Wardrobe', 'Fan', 'Exhaust Fan', '2 Geyser', 'Light', 'Modular Kitchen', 'Chimney', 'No AC', 'No Bed', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']","['Lift(s)', 'Intercom Facility', 'Power Back-up', 'Gated Society', '1 Covered Parking', 'Security Guard', 'Swimming Pool', 'Park', 'Piped-gas', 'False Ceiling Lighting', 'No open drainage around', 'Natural Light', 'Internet/wi-fi connectivity', 'Low Density Society', 'Club house', 'Gymnasium', 'Waste Disposal', 'Rain Water Harvesting']","['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.1 out of 5', 'Green Area4.3 out of 5']",https://imagecdn.99acres.com/media1/37318/10/746370420O-1776667336061.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Zirakpur', '3 BHK Flats in Zirakpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""WheelChair Friendly"": "":"", ""Water Source"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://www.rera.punjab.gov.in/,,,,,
chandigarh,"3 BHK FlatinMullanpur, Chandigarh",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-omaxe-cassia-mullanpur-chandigarh-1725-sqft-spid-A90181774,A90181774,Omaxe Cassia,Omaxe Cassia,30.7891651,76.71824279972222,1.95 Crore,"@ 11,304 per sqft","₹11,304 /sqft",Carpet area: 1725 (160.26 sq.m.)  sqft,160.26,3 Bedrooms,3 Bathrooms,2 Balconies,"Pooja Room,Study Room,Servant Room","Mullanpur, Chandigarh, India",Ground of 3 Floors,North-East,"Pool,Park,Main Road,Club",1 to 5 Year Old,"May 12, 2026",,"A very renowned porsche society, omaxe city new chandigarh, 24*7security 
Cctv installed, 3bhk fully furnished house with huge front yard, and backyard double entrance door, all the market feasibility within the compound within five minutes away, well maintained maintenance clubhouse, swimming pool,...","['Water Purifier', 'Fan', 'Fridge', 'Dining Table', '4 Geyser', 'Stove', 'Light', '4 AC', '3 TV', 'Modular Kitchen', 'Chimney', '3 Bed', '5 Wardrobe', 'Sofa', 'Washing Machine', 'Microwave']",,"['Construction3.3 out of 5', 'Amenities3.7 out of 5', 'Management3.2 out of 5', 'Connectivity3.4 out of 5', 'Green Area3.8 out of 5']",https://imagecdn.99acres.com/media1/37883/4/757664394O-1778501466499.jpg,"['Home', 'Property in Chandigarh', 'Flats in Chandigarh', 'Flats in Mullanpur', '3 BHK Flats in Mullanpur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Width of facing road"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://www.rera.punjab.gov.in/,,,,,
