city,property_name,link,property_id,society,societyName,latitude,longitude,price,pricePerSqft,area,areaWithType,areaSqm,bedRoom,bathroom,balcony,additionalRoom,address,floorNum,facing,overlooking,agePossession,postedDate,nearbyLocations,description,furnishDetails,features,rating,mainImage,breadcrumbHierarchy,additionalDetailsJson,reraStatus,reraWebsite,dealerName,dealerCompany,dealerMemberSince,dealerAddress,dealerWebsite
bangalore,"2 BHK Flatin Doddakallasandra, Kanakapura Road",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-comfort-heights-doddakallasandra-bangalore-south-1980-sqft-npspid-K91029016,K91029016,Comfort Heights,Comfort Heights,12.88752,77.55376,,,"₹12,474 /sqft",,,,,,,"Doddakallasandra, Kanakapura Road",,,,,"May 11, 2026 by Propsangam","['Suryodhaya International Public School', 'City Engineering College', 'Cura Hospitals', 'Doddakallasandra Metro Station', 'Forum Shopping Mall', 'Brigade Software Park', 'National Highway 48', 'Navandahalli Railway Station', 'Grand Mercure Bangalore', 'M. Chinnaswamy Stadium', 'Sprunki World Amusement Park', 'ASC Golf Course', 'Kempegowda International Airport']","Make Comfort Heights your next home. Book your 2 BHK flat in Doddakallasandra, Bangalore South. With a super built-up area of 1980.0 sq. ft., the flat combines the finest design and amenities in Bangalore South to provide a living experience unlike any other. Here is an exclusive deal for you. Buy y...",,,"['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety4 out of 5', 'Green Area4.1 out of 5']",,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Kanakapura Road', 'Flats for sale in Doddakallasandra', '2 BHK Flats for sale in Doddakallasandra']","{""Property Code"": ""K91029016""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK FlatinChikkagubbi, Hennur Road",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-adarsh-pinecourt-chikkagubbi-bangalore-north-1844-sqft-spid-A92143220,A92143220,Adarsh Pinecourt,Adarsh Pinecourt,13.0837084,77.6625207,2.2 Crore,"@ 11,930 per sqft","₹11,930 /sqft",Super Built-up area 1844(171.31 sq.m.)  sqft,171.31,3 Bedrooms,3 Bathrooms,2 Balconies,,"Chikkagubbi, Hennur Road",1st   of 4 Floors,North,Pool,0 to 1 Year Old,"Jun 25, 2026","['Bhartiya Mall Of Bengaluru', 'Hennur Main Road', 'NH 44', 'New Horizon International School', 'Kristu Jayanti College', 'Royal Care Speciality Hospital', 'Kempegowda International Airport', 'KSR Bengaluru City Junction', 'Manyata Tech Park', 'The Leela Bhartiya City', 'Padukone-Dravid CSE']","Biggest flat size in adarsh pinecourt, pool veiw , north facing, south facing balcony, ample of sunlight",,"['Lift(s)', 'Club house', 'Swimming Pool', 'Gymnasium', 'Visitor Parking', 'Park', 'Shopping Centre']","['Connectivity4 out of 5', 'Lifestyle3.9 out of 5', 'Safety4.1 out of 5', 'Green Area4.1 out of 5']",https://imagecdn.99acres.com/media1/39126/11/782531588O-1782287491603.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Hennur Road', 'Flats for sale in Chikkagubbi', '3 BHK Flats for sale in Chikkagubbi']","{""Property Ownership"": "":"", ""Parking"": "":"", ""Furnishing"": "":"", ""Power Backup"": "":"", ""RERA"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK Flatin Budigere Cross, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-budigere-cross-bangalore-east-1908-sqft-spid-D90363238,D90363238,Godrej Woodscapes,Godrej Woodscapes,13.064607,77.74434,3 Crore,"@ 15,726 per sqft","₹15,726 /sqft",Built-up area: 1907.6 (177.22 sq.m.)Carpet area: 1138.4 sqft (105.76 sq.m.)  sqft,177.22,3 Bedrooms,3 Bathrooms,2 Balconies,,"Budigere Cross, Bangalore",39th   of 39 Floors,,,Mar 2027,"Apr 14, 2026","['Sri Shubha Sapthagiri Convention Hall', 'New Baldwin International Residential School', 'Shiva Shakthi Industries And Rolling Mill']","Luxury 3 bhk apartment for sale konadasapura, bangalore | possession by dec 2027 | rera approvedPresenting a spacious and thoughtfully designed 3 bhk apartment in konadasapura, bangalore, where modern living meets comfort and future-Ready infrastructure. Property details:Super built-Up area: 1...",,,"['Connectivity3.9 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Budigere Cross', '3 BHK Flats for sale in Budigere Cross']","{""Property Ownership"": "":"", ""Parking"": "":"", ""Furnishing"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://rera.karnataka.gov.in/,,,,,
bangalore,"2 BHK FlatinWhitefield, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-pavani-mirabilia-whitefield-bangalore-east-1135-sqft-spid-P89391077,P89391077,Pavani Mirabilia,Pavani Mirabilia,13.017094,77.762374,1.7 Crore,"@ 14,977 per sqft","₹14,977 /sqft",Super Built-up area 1135(105.44 sq.m.)  sqft,105.44,2 Bedrooms,2 Bathrooms,1 Balcony,,"Whitefield, Bangalore",6th   of 16 Floors,West,Others,Under Construction,"Mar 09, 2026","['Whitefield Railway Station', 'Whitefield (Kadugodi) Metro Station', 'MVJ College of Engineering', 'One World International School', 'International Tech Park Bangalore(ITPB)', 'Manipal Hospital Whitefield', 'Sheraton Grand Hotel Whitefield', 'Nexus Shantiniketan', 'Bhattarahalli Indoor Stadium', 'HAL Airport', 'Kempegowda International Airport']","Residential apartment
This is your chance to a 2 bhk apartment / flat for sale in pavani mirabilia whitefield bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 2 bedroom apartment with 2 bathrooms, modular kitchen, spacious hall and 1 balconies...",,,"['Connectivity4.4 out of 5', 'Lifestyle4.4 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",https://imagecdn.99acres.com/media1/36177/16/723556239O-1773031591986.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Whitefield', '2 BHK Flats for sale in Whitefield']","{""Property Ownership"": "":"", ""Furnishing"": "":"", ""Flooring"": "":"", ""Power Backup"": "":"", ""RERA"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"2 BHK FlatinBattarahalli, Near KR Puram, Bangalore",https://www.99acres.com/2-bhk-bedroom-apartment-flat-for-sale-in-assetz-sun-and-sanctum-battarahalli-bangalore-east-1215-sqft-spid-M88928310,M88928310,Assetz Sun and Sanctum,Assetz Sun and Sanctum,13.0235742,77.7054191,1.7 Crore,"@ 13,991 per sqft","₹13,991 /sqft",Super Built-up area 1215(112.88 sq.m.)Carpet area: 887 sqft (82.4 sq.m.)  sqft,112.88,2 Bedrooms,2 Bathrooms,1 Balcony,,"Battarahalli, Near KR Puram, Bangalore",3rd   of 10 Floors,East,Others,0 to 1 Year Old,"Jun 11, 2026","['Battarahalli Indoor Stadium', 'NH 75', 'Cambridge PU College', 'Sri Prarthana School', 'Sunrise Hospital', 'Channasandra Station', 'The Waverly Hotel and Residences', 'Phoenix Marketcity', 'Prestige Augusta Golf Village', 'Baiyappanahalli Metro Station', 'Embassy Manyata Business Park', 'Aqua World Amusement Park', 'Kempegowda International Airport']","2 bhk flat for sale in assetz sun and sanctum, battarahalli 1215 sqft | near baiyappanahalli metroOwn a premium 2 bhk apartment in battarahalli, bangalore east at assetz sun and sanctum. Spanning 1215 sqft, this vaastu-Compliant home is located on the 3rd floor of a 10-Storey mid-Rise tower with i...",,,"['Connectivity4 out of 5', 'Lifestyle4.1 out of 5', 'Safety4 out of 5', 'Green Area4.2 out of 5']",https://imagecdn.99acres.com/media1/37798/7/755967844O-1778233667386.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Old Madras Road', 'Flats for sale in Battarahalli', '2 BHK Flats for sale in Battarahalli']","{""Property Ownership"": "":"", ""Parking"": "":"", ""Furnishing"": "":"", ""Power Backup"": "":"", ""RERA"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"4 BHK FlatinSarjapur Road, Bangalore",https://www.99acres.com/4-bhk-bedroom-apartment-flat-for-sale-in-jrc-wild-woods-sarjapur-road-bangalore-east-2812-sqft-spid-A90570858,A90570858,JRC Wild Woods,JRC Wild Woods,12.87894,77.69066,4.7 Crore,"@ 16,714 per sqft","₹16,714 /sqft",Built-up area: 2812 (261.24 sq.m.)Carpet area: 2006 sqft (186.36 sq.m.)  sqft,261.24,4 Bedrooms,4 Bathrooms,3+ Balconies,,"Sarjapur Road, Bangalore",4th   of 4 Floors,West,"Pool,Others,Club,Park",1 to 5 Year Old,"Apr 27, 2026","['Primus public school', 'National Highway 44', 'Karmelram Railway station', 'RGA Tech park', 'Belenus Champion Hospital', 'PES University', 'Electronic City Metro Station', 'DoubleTree Suites', 'Centro', 'Kempegowda International Airport']","A beautifully designed and premium 3 bhk corner apartment available for sale in jrc wild woods, one of the most sought-After residential communities on sarjapur road. Spread across approximately 2812 sq. Ft., this semi-Furnished home offers uninterrupted lake views, abundant natural light, and a tho...","['5 Wardrobe', 'Water Purifier', 'Fan', 'Geyser', 'Stove', 'Microwave', 'Light', '2 AC', 'Modular Kitchen', 'Chimney', 'No Bed', 'No Dining Table', 'No Fridge', 'No Sofa', 'No TV', 'No Washing Machine']",,"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.1 out of 5']",https://imagecdn.99acres.com/media1/37396/16/747936090O-1776915913431.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Sarjapur Road', '4 BHK Flats for sale in Sarjapur Road']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK FlatinRamagondanahalli, Whitefield",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ramagondanahalli-bangalore-east-1818-sqft-spid-V92499118,V92499118,Prestige Somerville,Prestige Somerville,12.955149,77.740198,3.15 Crore,"@ 17,326 per sqft","₹17,326 /sqft",Super Built-up area 1818(168.9 sq.m.)  sqft,168.9,3 Bedrooms,3 Bathrooms,3 Balconies,,"Ramagondanahalli, Whitefield",11st   of 17 Floors,,"Main Road,Park",Dec 2027,"Jul 10, 2026","['Looking Good Furniture', 'St. Theresa Novitiate', 'Sri Devi Karumariamman Temple', 'Veeranjaneya Devasthana', 'Sri Devi Karumariamman Temple Mahadwara', 'Sri Kalikamba Temple', 'Kotak mahindra bank ATM', 'Hdfc bank ATM', 'Andhra bank ATM', 'Icici ATM', 'Hdfc ATM', 'Revive Aesthetic Clinic Skin Hair And Laser Center', 'Hair Loss Treatment in Bangalore - Hairline International', 'Agarwal Eye Hospital', 'Vignesh medicals', '24x7 Pharmacy', ""Visitor's Car Park"", 'Shell', 'Jagriti Theatre', 'Canara bank', 'Andhra bank', 'The Fat Chef', ""Domino's Pizza"", 'Saffron Patch', 'Udupi Delecacy', 'Cafe Bel Cibo Patio', 'The Farmhouse Kitchen & Bakery', 'Cream Stone', 'Daily Sushi', 'Toscano - Wine collection', 'Chez Mariannick', 'Bhagini Iris', 'Bhagini Park', 'Cafe Coffee Day', ""Kolkata's"", 'Pizza Hut PHD', 'The Biere Street', 'Chin Chin', 'Refresh', 'Sowparnika Bakery And Sweets', 'Moriz Restaurant', 'Chez Mariannick Bakery & Restaurant', 'Mainland China', 'Sigree Global Grill', 'Neev School', 'Bright Beginnings Preschool', 'The Dunmore House Preschool', 'Chrysalis Kids', 'Viha', 'Kideens']","Prestige somerville premium low-Density luxury living in whitefieldExperience refined living at prestige somerville, an exclusive residential community by prestige estates projects, ideally located off varthur road in whitefield, bengaluru. Spread across approximately 6.5 acres with only 306 premi...",,"['Lift(s)', ""Children's play area"", 'Security / Fire Alarm', 'Power Back-up', 'Intercom Facility', '1 Covered Parking', 'Security Guard', 'Swimming Pool', 'Visitor Parking', 'Park', 'Maintenance Staff', 'Water Storage', 'Club house', 'Gymnasium']","['Connectivity4 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.6 out of 5', 'Green Area3.7 out of 5']",https://imagecdn.99acres.com/media1/39683/0/793660006O-1783918207538.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Whitefield', 'Flats for sale in Ramagondanahalli', '3 BHK Flats for sale in Ramagondanahalli']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",NOT AVAILABLE,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK FlatinBudigere Cross, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-godrej-woodscapes-budigere-cross-bangalore-east-2027-sqft-spid-C91789208,C91789208,Godrej Woodscapes,Godrej Woodscapes,13.049206,77.75181,2.85 Crore,"@ 14,060 per sqft","₹14,060 /sqft",Super Built-up area 2027(188.31 sq.m.)  sqft,188.31,3 Bedrooms,3 Bathrooms,3 Balconies,Study Room,"Budigere Cross, Bangalore",37th   of 39 Floors,West,"Pool,Park",Dec 2027,"Jul 10, 2026","['Holiday Inn Express', 'NH 75', 'VIBGYOR High School Kadugodi', 'Uptown Square', 'Whitefield Railway Station', 'Vitals Hospital', 'White Field (Kadugodi) Metro Station', 'Garden City University', 'GR Tech Park', 'Kempegowda International Airport']","This 3 bhk flat spanning 2027 sqft in godrej woodscapes, budigere cross offers modern living on the 37th floor of a 39-Story high-Rise. Under construction and ready by late 2027, it features 3 bedrooms and bathrooms, a fitness center, swimming pool, clubhouse, lift, and parking. Conveniently close t...",,,"['Connectivity3.9 out of 5', 'Lifestyle3.9 out of 5', 'Safety3.8 out of 5', 'Green Area3.9 out of 5']",https://imagecdn.99acres.com/media1/38732/18/774658730O-1781075411294.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Budigere Cross', '3 BHK Flats for sale in Budigere Cross']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK FlatinKalkere, Near Horamavu, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-ds-max-sankalp-manor-kalkere-bangalore-east-1822-sqft-spid-Q91419444,Q91419444,DS Max Sankalp Manor,DS Max Sankalp Manor,13.0399439,77.67091259972223,1.55 Crore,"@ 8,507 per sqft","₹8,507 /sqft",Super Built-up area 1822(169.27 sq.m.)  sqft,169.27,3 Bedrooms,3 Bathrooms,3 Balconies,,"Kalkere, Near Horamavu, Bangalore",4th   of 4 Floors,North-East,,1 to 5 Year Old,"Jul 10, 2026","['D Mart, Plama Heights', 'Big Bazaar, 11, Outer Ring Rd', 'National Public School', 'SLS INTERNATIONAL GURUKUL', 'VIBGYOR High School', 'Triquetra Healthcare and Techology', 'Sri Manjunatha Medical', 'KOSHYS MULTISPECIALTY', 'Jyotsna Hospital', 'Cratis Hospital', 'North Bangalore Hospital', 'Sams Securities', 'Andhra Bank, Kithaganur', 'Hindustan Petroleum Corporation', 'KANAKA SAROVARA LAKE']","Residential apartment
This is your chance to a 3 bhk apartment / flat for sale in ds max sankalp manor kalkere near horamavu bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall ...","['Bed', 'Wardrobe', 'Fan', 'Geyser', 'Light', 'Modular Kitchen', 'No AC', 'No Chimney', 'No Dining Table', 'No Microwave', 'No Fridge', 'No Sofa', 'No Stove', 'No TV', 'No Washing Machine', 'No Water Purifier']",,"['Connectivity4 out of 5', 'Lifestyle3.8 out of 5', 'Safety3.9 out of 5', 'Green Area3.9 out of 5']",https://imagecdn.99acres.com/media1/39569/17/791397714O-1783613078855.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Kalkere', '3 BHK Flats for sale in Kalkere']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
bangalore,"3 BHK FlatinBagalur, Bangalore",https://www.99acres.com/3-bhk-bedroom-apartment-flat-for-sale-in-assetz-sora-and-saki-bagalur-bangalore-north-1670-sqft-spid-I91953596,I91953596,Assetz Sora and Saki,Assetz Sora and Saki,13.14607,77.68146,1.96 Crore,"@ 11,736 per sqft","₹11,736 /sqft",Super Built-up area 1670(155.15 sq.m.)Carpet area: 1200 sqft (111.48 sq.m.)  sqft,155.15,3 Bedrooms,3 Bathrooms,2 Balconies,,"1033, Bagalur, Bangalore",3rd   of 18 Floors,West,"Club,Park,Pool,Main Road,Others",Sep 2028,"Jul 01, 2026","['BK Halli Highway', 'CMR University', 'Kempegowda International Airport', 'Bhartiya Mall Of Bengaluru', 'Taj Hotel Bangalore', 'Canadian International School', 'Club Cabana Amusement Park', 'Cratis Hospital', 'Yelahanka Railway Station', 'Devanahalli Business Park']","This is your chance to a 3 bhk apartment / flat for sale in assetz sora and saki bagalur bangalore . Where luxury comes with affordability.Basic details:
You will love this bright and spacious 3 bedroom apartment with 3 bathrooms, modular kitchen, spacious hall and 2 balconies.The balcony offers a...",,,"['Connectivity4.3 out of 5', 'Lifestyle4.3 out of 5', 'Safety4.2 out of 5', 'Green Area4.3 out of 5']",https://imagecdn.99acres.com/media1/38914/1/778281052O-1781610232977.jpg,"['Home', 'Property in Bangalore', 'Flats for sale in Bangalore', 'Flats for sale in Bagalur Main Road', 'Flats for sale in Bagalur', '3 BHK Flats for sale in Bagalur']","{""Transaction Type"": "":"", ""Property Ownership"": "":"", ""Flooring"": "":"", ""Furnishing"": "":"", ""Parking"": "":"", ""Power Backup"": "":""}",REGISTERED,https://rera.karnataka.gov.in/,,,,,
